hospital_id,hospital_name,city,country,email,website,phone,doctor_count,fallback_portrait_count,slug,intake_url
3,"Indraprastha Apollo Hospital","New Delhi","India","intlmarketing@apollohospitals.com","https://www.apollohospitals.com","+911126925858",2,0,apollo-hospital-delhi,https://medcasts.com/hospital-portal/portraits?hospital=apollo-hospital-delhi
9,"Bumrungrad International","Bangkok","Thailand","info@bumrungrad.com","https://www.bumrungrad.com","+6620661000",0,0,bumrungrad-international,https://medcasts.com/hospital-portal/portraits?hospital=bumrungrad-international
16,"Asan Medical Center","Seoul","South Korea","ims@amc.seoul.kr","https://www.amc.seoul.kr/asan/","+82230103114",21,21,asan-medical-center,https://medcasts.com/hospital-portal/portraits?hospital=asan-medical-center
2,"Medanta - The Medicity","Gurugram","India","international@medanta.org","https://www.medanta.org","+911244834111",3,1,medanta-medicity,https://medcasts.com/hospital-portal/portraits?hospital=medanta-medicity
12,"Cleveland Clinic Abu Dhabi","Abu Dhabi","United Arab Emirates","intlpatients@clevelandclinicabudhabi.ae","http://www.clevelandclinicabudhabi.ae/","+97128019000",0,0,cleveland-clinic-abu-dhabi,https://medcasts.com/hospital-portal/portraits?hospital=cleveland-clinic-abu-dhabi
13,"Mount Elizabeth Hospital","Singapore","Singapore","ppl@parkwaypantai.com","http://mountelizabeth.com.sg/en/Default.aspx","+6567372666",0,0,mount-elizabeth-hospital,https://medcasts.com/hospital-portal/portraits?hospital=mount-elizabeth-hospital
7,"Acıbadem Maslak Hospital","Istanbul","Turkey","international@acibadem.com","https://www.acibademinternational.com","+902123044444",0,0,acibadem-maslak,https://medcasts.com/hospital-portal/portraits?hospital=acibadem-maslak
14,"Charité — Universitätsmedizin Berlin","Berlin","Germany","international@charite.de","https://www.charite.de","+493045050",0,0,charite-berlin,https://medcasts.com/hospital-portal/portraits?hospital=charite-berlin
15,"Klinikum rechts der Isar (TUM)","Munich","Germany","internationaloffice@mri.tum.de","https://www.mri.tum.de","+498941400",0,0,klinikum-rechts-der-isar,https://medcasts.com/hospital-portal/portraits?hospital=klinikum-rechts-der-isar
10,"Bangkok Hospital","Bangkok","Thailand","info@bangkokhospital.com","http://www.bkkchristianhosp.th.com","+6623105000",1,1,bangkok-hospital,https://medcasts.com/hospital-portal/portraits?hospital=bangkok-hospital
8,"Memorial Şişli Hospital","Istanbul","Turkey","info@memorial.com.tr","https://www.memorial.com.tr","+902124447888",0,0,memorial-sisli,https://medcasts.com/hospital-portal/portraits?hospital=memorial-sisli
1,"Artemis Hospital","Gurugram","India","international@artemishospitals.com","http://www.artemishospitals.com","+911244511111",2,0,artemis-hospital,https://medcasts.com/hospital-portal/portraits?hospital=artemis-hospital
